bike_name,price,city,kms_driven,owner,age,power,brand
KTM RC 390cc,147000.0,Jaipur,15000.0,First Owner,6.0,390.0,KTM
KTM Duke 390cc,200000.0,Jaipur,11700.0,First Owner,4.0,390.0,KTM
KTM RC 390cc,175000.0,Jaipur,10880.0,First Owner,4.0,390.0,KTM
KTM RC 200cc,190000.0,Jaipur,7902.0,First Owner,2.0,200.0,KTM
KTM Duke 250cc,135000.0,Jaipur,12507.0,First Owner,4.0,250.0,KTM
KTM RC 200cc,190000.0,Jaipur,7902.0,First Owner,2.0,200.0,KTM
KTM RC 200cc,128000.0,Jaipur,15000.0,First Owner,4.0,200.0,KTM
KTM Duke 250cc,150000.0,Jaipur,12500.0,First Owner,4.0,250.0,KTM
